Game_ID,X_Model,Y_Model,Persona_X,Persona_Y,X_Card,X_Action,Y_Card,Y_Action,Winner,X_Net_Payoff,Y_Net_Payoff,Fallback
1,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
2,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
3,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
4,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
5,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
6,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
7,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
8,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
9,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
10,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
11,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
12,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
13,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
14,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
15,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
16,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
17,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
18,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
19,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
20,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,3,X,1,-1,False
21,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
22,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
23,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
24,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
25,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,1,K,,Y,-1,1,False
26,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
27,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
28,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
29,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,3,X,1,-1,False
30,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
31,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
32,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
33,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
34,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
35,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
36,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
37,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
38,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
39,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
40,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
41,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
42,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
43,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
44,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
45,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
46,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
47,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
48,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
49,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
50,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
51,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
52,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
53,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
54,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
55,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
56,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
57,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
58,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
59,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
60,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
61,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,3,X,1,-1,False
62,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
63,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
64,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
65,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,3,X,1,-1,False
66,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,3,X,1,-1,False
67,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
68,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
69,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
70,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
71,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,3,X,1,-1,False
72,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
73,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
74,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
75,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
76,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
77,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
78,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
79,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
80,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
81,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
82,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
83,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
84,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
85,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
86,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,3,X,1,-1,False
87,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
88,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
89,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
90,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
91,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
92,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
93,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
94,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
95,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
96,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
97,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
98,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
99,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
100,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
101,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
102,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
103,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
104,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
105,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
106,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
107,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
108,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,3,X,1,-1,False
109,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
110,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
111,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
112,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
113,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
114,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
115,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
116,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
117,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
118,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
119,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
120,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
121,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
122,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
123,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
124,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,1,K,,Y,-1,1,False
125,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
126,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
127,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
128,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
129,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
130,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
131,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
132,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
133,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
134,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,3,X,1,-1,False
135,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,3,X,1,-1,False
136,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
137,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
138,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
139,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,3,X,1,-1,False
140,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
141,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
142,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
143,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,J,3,X,1,-1,False
144,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
145,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
146,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
147,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
148,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
149,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
150,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
151,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
152,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
153,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
154,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
155,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,3,X,1,-1,False
156,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,3,X,1,-1,False
157,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,Q,4,Y,-2,2,False
158,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
159,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
160,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
161,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,Q,4,X,2,-2,False
162,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
163,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,1,Q,,X,1,-1,False
164,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,Q,2,K,4,Y,-2,2,False
165,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,J,2,K,4,Y,-2,2,False
166,mistral/mistral-small-latest,openai/gpt-5.4-mini,rationnel,prudent,K,2,J,3,X,1,-1,False
